Voter File VANID,Sex,YEARXXScoreSName,DemPartySup2,NatTO,2020:CivSpan,2020:VolProp,TDPPartisan,BRResearchBetoSuppor,BRResearchBetoTurnou,DNCDemPartySupportV1,TO2022,Age,RaceName,PrecinctName
1,M,52.94,67.58,94.66,0.01,,57.55,32.72,82.7,63.46,92.29,52.0,Caucasian,906.0
2,M,73.56,96.78,99.75,0.05,20.0,98.79,99.24,94.2,95.01,98.21,54.0,African-American,923.0
3,M,70.26,41.2,99.26,0.0,41.0,87.96,96.65,78.11,55.1,97.47,60.0,African-American,923.0
4,M,37.37,72.95,35.45,0.02,40.0,79.49,62.57,83.6,66.03,71.36,52.0,Caucasian,1111.0
5,M,26.91,80.32,16.93,0.37,93.0,88.55,95.14,58.4,83.26,53.24,56.0,Caucasian,619.0
6,F,59.11,84.82,98.92,0.02,,95.04,98.35,81.69,86.05,86.71,71.0,Chinese,906.0
7,F,43.13,68.35,81.2,0.02,48.0,58.9,53.07,26.1,59.07,42.37,53.0,Vietnamese,862.0
8,M,58.47,92.22,99.27,0.01,,94.76,94.57,92.2,92.25,89.08,40.0,Jewish,362.0
9,M,52.94,88.1,98.16,0.02,,66.27,98.94,94.8,83.68,85.49,58.0,Caucasian,862.0
10,M,73.56,55.29,99.55,0.42,,65.78,78.3,75.91,69.19,92.08,54.0,Asian,619.0
11,M,70.58,72.85,94.04,0.06,86.0,29.8,32.92,82.7,51.63,90.44,51.0,Caucasian,923.0
12,F,61.89,90.18,98.24,0.01,,96.61,95.77,79.14,91.09,94.07,46.0,African-American,923.0
13,F,33.7,69.38,76.49,1.3,,56.28,28.68,70.3,70.88,70.73,42.0,Caucasian,991.0
14,F,62.65,87.01,97.27,0.22,86.0,84.66,92.14,78.71,78.27,76.84,43.0,Hispanic,906.0
15,M,39.65,55.11,55.44,8.1,,64.42,40.54,57.12,52.05,74.77,36.0,Hispanic,619.0
16,M,49.92,73.95,5.18,0.09,,68.05,69.95,72.5,63.31,62.42,39.0,Caucasian,619.0
17,M,35.94,80.61,98.93,0.71,,92.3,92.5,77.69,87.36,89.64,36.0,Hispanic,1111.0
18,F,70.26,90.1,99.63,3.75,99.0,98.15,98.31,79.39,90.78,93.94,48.0,Hispanic,619.0
19,F,43.46,95.93,98.52,0.1,98.0,98.99,99.53,94.5,94.56,93.78,84.0,African-American,906.0
20,M,62.65,66.57,82.7,5.7,,64.29,34.33,63.92,80.24,75.73,52.0,Hispanic,331.0
21,M,40.43,64.87,31.73,0.21,,50.96,63.78,41.23,56.65,55.11,46.0,Middle Eastern,331.0
22,F,25.77,80.37,23.28,34.18,,44.48,53.41,47.85,78.03,55.31,58.0,Hispanic,331.0
23,F,65.48,98.02,99.67,0.07,91.0,99.21,99.34,86.67,96.19,98.15,72.0,Caucasian,901.0
24,F,25.77,96.09,97.96,0.11,45.0,98.93,97.67,95.1,97.3,92.22,61.0,Jewish,901.0
25,M,34.36,95.29,99.69,0.04,81.0,99.16,94.94,95.8,94.19,89.65,77.0,African-American,901.0
26,M,33.7,91.11,60.33,0.02,22.0,98.13,90.63,62.9,92.4,64.22,45.0,Caucasian,331.0
